accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
361978.8479,-0.168685913,-0.399719238,-0.893585205,361978.8378,0.011766911,0.039462721,-0.007210775
361978.8779,-0.171707153,-0.399169922,-0.892913818,361978.8729,0.00859189,0.050126551,-0.012538162
361978.908,-0.165374756,-0.395935059,-0.893600464,361978.908,0.012882243,0.046949133,-0.013566942
361978.9381,-0.166244507,-0.400268555,-0.893066406,361978.908,0.012882243,0.046949133,-0.013566942
361978.9682,-0.166183472,-0.398956299,-0.893371582,361978.9431,0.0075213,0.044794902,-0.011500595
361978.9983,-0.168457031,-0.399002075,-0.892623901,361978.9783,0.009641708,0.043725909,-0.009350891
361979.0284,-0.163848877,-0.401077271,-0.894042969,361979.0134,0.008593488,0.049061819,-0.012541358
361979.0585,-0.16519165,-0.398117065,-0.89289856,361979.0485,0.009641708,0.043725909,-0.009350891
361979.0886,-0.177368164,-0.399749756,-0.888717651,361979.0835,0.005455219,0.06081062,-0.022125542
361979.1187,-0.163314819,-0.404632568,-0.893386841,361979.1187,-0.004282363,0.055394816,-0.00839961
361979.1488,-0.161529541,-0.400375366,-0.8956604,361979.1187,-0.004282363,0.055394816,-0.00839961
361979.1789,-0.175231934,-0.395187378,-0.896820068,361979.1538,-0.024658741,0.047845553,-0.000119576
361979.209,-0.149612427,-0.407867432,-0.905136108,361979.1889,-0.021365476,0.015932628,-0.004441087
361979.2391,-0.162979126,-0.395172119,-0.892929077,361979.224,-0.025837989,-0.032133702,0.025189243
361979.2692,-0.171478271,-0.393554688,-0.890075684,361979.2592,-0.004368649,0.01059512,0.008506137
361979.2993,-0.174728394,-0.39100647,-0.891098022,361979.2942,0.006257363,0.008459531,0.016069248
361979.3293,-0.16557312,-0.396972656,-0.8959198,361979.3293,0.013662016,-0.009676063,0.02781006
361979.3595,-0.167755127,-0.396453857,-0.898956299,361979.3293,0.013662016,-0.009676063,0.02781006
