accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
361073.0079,-0.050628662,-0.376586914,-0.910842896,361072.9799,-0.013821806,0.065001637,-0.019123893
361073.038,-0.026779175,-0.384628296,-0.921279907,361073.015,-0.004197675,0.043718186,-0.015889751
361073.0682,-0.021377563,-0.380645752,-0.917907715,361073.0501,2.72E-05,0.052227518,-0.011558385
361073.0983,-0.024551392,-0.374771118,-0.9140625,361073.0852,-0.001054612,0.054348993,-0.010498447
361073.1283,-0.02116394,-0.376235962,-0.914764404,361073.1203,0.003286873,0.061854313,-0.018950255
361073.1584,-0.021621704,-0.378097534,-0.917114258,361073.1554,0.002181129,0.060766412,-0.01470491
361073.1885,-0.019287109,-0.378860474,-0.9168396,361073.1554,0.002181129,0.060766412,-0.01470491
361073.2186,-0.020339966,-0.369277954,-0.912643433,361073.1905,0.002150769,0.049029062,-0.009415073
361073.2487,-0.01802063,-0.381256104,-0.916854858,361073.2256,0.021421403,0.049096973,-0.012403939
361073.2788,-0.00970459,-0.384033203,-0.924453735,361073.2608,0.009696037,0.045885733,-0.015734488
361073.3089,-0.016342163,-0.381912231,-0.918334961,361073.2958,0.003159042,0.019163841,0.002221875
361073.339,-0.034469604,-0.388427734,-0.917053223,361073.331,-0.027820979,0.049991528,-0.00547253
361073.3691,-0.013717651,-0.369781494,-0.912216187,361073.366,-0.020221382,0.074581826,-0.022358835
361073.3992,-0.004119873,-0.3722229,-0.918792725,361073.366,-0.020221382,0.074581826,-0.022358835
361073.4293,-0.02166748,-0.37387085,-0.917449951,361073.4012,-0.002211489,0.023398001,0.004307397
361073.4594,-0.027801514,-0.365066528,-0.911483765,361073.4363,-0.00330445,0.026579147,0.006435529
361073.4894,-0.028686523,-0.381439209,-0.919235229,361073.4714,0.019253057,0.037353764,-0.007137005
361073.5195,-0.018280029,-0.379089355,-0.921569824,361073.5065,0.008547149,0.035184885,-0.005127917
361073.5496,-0.009750366,-0.359054565,-0.915405273,361073.5416,0.008540758,0.045837263,-0.006160957
361073.5797,-0.030700684,-0.389038086,-0.922897339,361073.5767,-0.008558334,0.061776549,-0.00949124
361073.6098,-0.038040161,-0.390853882,-0.925598145,361073.5767,-0.008558334,0.061776549,-0.00949124
361073.6399,-0.033935547,-0.362716675,-0.910812378,361073.6118,-0.034054373,0.095888979,-0.033093771
361073.67,-0.067932129,-0.381240845,-0.93927002,361073.6469,0.028277977,0.150577791,-0.078061513
361073.7001,0.341201782,-0.253646851,-0.937347412,361073.682,0.102332498,0.291086703,-0.251523847
361073.7302,-0.694229126,-0.204421997,-0.980438232,361073.7171,0.837962572,-0.79750516,-1.982008373
361073.7603,-1.269561768,-0.04107666,-1.554290771,361073.7522,0.574025198,-1.240843185,-0.02529284
361073.7904,-0.7237854,0.592208862,-1.520202637,361073.7873,-0.771098586,-0.058669172,1.820373137
361073.8204,0.421676636,0.62677002,-1.266967773,361073.7873,-0.771098586,-0.058669172,1.820373137
361073.8505,0.073257446,-0.415161133,1.035385132,361073.8225,-1.819935579,-0.807128759,0.286967059
361073.8806,1.3515625,-5.912445068,-3.834533691,361073.8575,2.592349235,0.63116252,-0.672257759
361073.9107,-0.939987183,-0.368911743,-1.333435059,361073.8927,0.469866305,-0.477413171,0.137793553
361073.9408,-0.137756348,-0.407226563,-0.875579834,361073.9277,0.313369904,0.095776328,-0.029375199
361073.9709,0.061050415,-0.322891235,-0.940597534,361073.9629,0.242824365,0.045505167,-0.02282622
